"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-30-2025 15:00","1738249204","0.24","0.395","0.24","0.0745","0.028","0.007","0.0025","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 16:00","1738252804","0.21","0.405","0.25","0.0935","0.0275","0.0055","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 17:00","1738256405","0.255","0.42","0.22","0.073","0.0105","0.0045","0.002","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 18:00","1738260004","0.29","0.45","0.2","0.064","0.0115","0.0025","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 19:00","1738263603","0.3","0.44","0.19","0.0565","0.0085","0.003","0.0005","0.0005","0.0005","0.0005","0.001","0.0005","0.0005","0.0005"
"01-30-2025 20:00","1738267204","0.415","0.38","0.135","0.041","0.0045","0.002","0.0005","0.001","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 21:00","1738270805","0.395","0.345","0.145","0.038","0.008","0.0025","0.001","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 22:00","1738274404","0.405","0.395","0.135","0.0335","0.0065","0.0025","0.001","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 23:00","1738278004","0.28","0.475","0.17","0.0535","0.009","0.003","0.001","0.0015","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-31-2025 00:00","1738281604","0.235","0.475","0.22","0.036","0.009","0.003","0.001","0.0025","0.0015","0.0015","0.0005","0.0005","0.001","0.0005"
"01-31-2025 01:00","1738285204","0.28","0.45","0.19","0.032","0.007","0.003","0.0015","0.0025","0.0015","0.0015","0.0005","0.0015","0.0015","0.0025"
"01-31-2025 02:00","1738288804","0.325","0.49","0.135","0.0235","0.005","0.003","0.002","0.0025","0.0015","0.0025","0.0005","0.001","0.001","0.002"
"01-31-2025 03:00","1738292404","0.105","0.555","0.29","0.052","0.0125","0.0025","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-31-2025 04:00","1738296005","0.075","0.575","0.29","0.057","0.021","0.0025","0.002","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-31-2025 05:00","1738299604","0.0005","0.41","0.415","0.093","0.031","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-31-2025 06:00","1738303204","0.0005","0.33","0.49","0.1585","0.019","0.0035","0.0015","0.0005","0.001","0.0015","0.0005","0.0005","0.001","0.001"
"01-31-2025 07:00","1738306804","0.0005","0.2","0.545","0.1565","0.0255","0.0065","0.001","0.0005","0.001","0.0015","0.0005","0.0005","0.001","0.001"
"01-31-2025 08:00","1738310404","0.0005","0.29","0.555","0.1265","0.02","0.0055","0.001","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-31-2025 09:00","1738314005","","0.245","0.545","0.152","0.021","0.004","0.001","0.003","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
